Name,Category,Provenance,Average_rating,Download_count,Number_of_comments,View_count,Organization,Business_unit,How_data_collected,Update_frequency,Time_period_Covered,dataset_contains_geospatial,Tags
1:10 Flood Map (10% chance of occurring in any year),null,official,0,22,0,122,null,null,null,null,null,null,null
1:10 Flood Map (10% chance of occurring in any year),Environment,official,0,192,0,246,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'water', 'level', 'inundation']"
1:100 Flood Map (1% chance of occurring in any year),Environment,official,0,47,0,643,The City of Calgary,Water Resources and Water Services,null,null,null,Yes,null
1:100 Flood Map (1% chance of occurring in any year),Environment,official,0,519,0,1370,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'water', 'level', 'inundation']"
1:20 Flood Map (5% chance of occurring in any year),Environment,official,0,16,0,78,The City of Calgary,Water Resources and Water Services,null,null,null,Yes,null
1:20 Flood Map (5% chance of occurring in any year),Environment,official,0,188,0,222,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'water', 'level', 'inundation']"
1:200 Flood Map (0.5% chance of occurring in any year),Environment,official,0,26,0,230,The City of Calgary,Water Resources and Water Services,null,null,null,Yes,null
1:200 Flood Map (0.5% chance of occurring in any year),Environment,official,0,306,0,503,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'water', 'level', 'inundation']"
1:5 Flood Map (20% chance of occurring in any year),null,official,0,20,0,350,null,null,null,null,null,null,null
1:5 Flood Map (20% chance of occurring in any year),Environment,official,0,479,0,1283,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'water', 'level', 'inundation']"
1:50 Flood Map (2% chance of occurring in any year),Environment,official,0,192,0,237,The City of Calgary,Water Resources and Water Services,null,Irregular,null,Yes,"['flood', 'water', 'level', 'inundation']"
1:50 Flood Map (2% chance of occurring in any year),Environment,official,0,35,0,83,The City of Calgary,Water Resources and Water Services,null,null,null,Yes,null
2012 Bike Normalized Volume,Transportation/Transit,official,0,56,0,67,The City of Calgary,Transportation Planning,null,None,null,Yes,['2012 bike volume']
2012 Bike Normalized Volume,Transportation/Transit,official,0,8,0,1,The City of Calgary,Transportation Planning,null,None,null,Yes,null
2013 Bike Normalized Volume,Transportation/Transit,official,0,54,0,62,The City of Calgary,Transportation Planning,null,None,null,Yes,['2013 bike volume']
